   row |             user |  size |  22 s |  22 e |  23 s |  23 e
------ | ---------------- | ----- | ----- | ----- | ----- | -----
 19150 |          PhoeniX |  7334 | 61445 | 61445 | 61950 | 61950
 19151 |        puzzlebot |  7334 | 61445 | 61445 | 61951 | 61955
 19152 |          PhoeniX |  7334 | 61445 | 61445 | 61956 | 61956
 19153 |        puzzlebot |  7334 | 61445 | 61445 | 61957 | 61966
 19154 |    e_vitiello_jr |  7334 | 61445 | 61445 | 61967 | 61967
 19155 |        puzzlebot |  7334 | 61445 | 61445 | 61968 | 61976
 19156 |          PhoeniX |  7334 | 61445 | 61445 | 61977 | 61977
 19157 |        puzzlebot |  7334 | 61445 | 61445 | 61978 | 61993
 19158 |          PhoeniX |  7334 | 61445 | 61445 | 61994 | 61994
 19159 |        puzzlebot |  7334 | 61445 | 61445 | 61995 | 61995
 18500 |    e_vitiello_jr |  7334 | 61444 | 61444 | 63599 | 63599
 18501 |        puzzlebot |  7334 | 61444 | 61444 | 63600 | 63691
 18502 |    e_vitiello_jr |  7334 | 61444 | 61444 | 63692 | 63692
 18503 |        puzzlebot |  7334 | 61444 | 61444 | 63693 | 63702
 19160 |          PhoeniX |  7334 | 61445 | 61445 | 61996 | 61996
 18504 |    e_vitiello_jr |  7334 | 61444 | 61444 | 63703 | 63703
 19161 |        puzzlebot |  7334 | 61445 | 61445 | 61997 | 61999
 18505 |        puzzlebot |  7334 | 61444 | 61444 | 63704 | 63709
 19162 |          PhoeniX |  7334 | 61445 | 61445 | 62000 | 62000
 18506 |    e_vitiello_jr |  7334 | 61444 | 61444 | 63710 | 63710
     1 |        puzzlebot |  7334 |     1 | 24575 | 65023 | 65023
 19163 |        puzzlebot |  7334 | 61445 | 61445 | 62001 | 62001
 18507 |        puzzlebot |  7334 | 61444 | 61444 | 63711 | 63752
     2 |    e_vitiello_jr |  7334 | 24575 | 24575 | 65301 | 65320
 19164 |          PhoeniX |  7334 | 61445 | 61445 | 62002 | 62002
 18508 |    e_vitiello_jr |  7334 | 61444 | 61444 | 63753 | 63753
     3 |          PhoeniX |  7334 | 24575 | 24575 | 65322 | 65322
 19165 |    e_vitiello_jr |  7334 | 61445 | 61445 | 62003 | 62003
 18509 |        puzzlebot |  7334 | 61444 | 61444 | 63754 | 63810
     4 |    e_vitiello_jr |  7334 | 24575 | 24575 | 65326 | 65326
 19166 |        puzzlebot |  7334 | 61445 | 61445 | 62004 | 62004
     5 |          PhoeniX |  7334 | 24575 | 24575 | 65331 | 65331
 19167 |          PhoeniX |  7334 | 61445 | 61445 | 62005 | 62005
     6 |    e_vitiello_jr |  7334 | 24575 | 24575 | 65333 | 65335
 19168 |        puzzlebot |  7334 | 61445 | 61445 | 62006 | 62006
     7 |          PhoeniX |  7334 | 24575 | 24575 | 65347 | 65347
 19169 |          PhoeniX |  7334 | 61445 | 61445 | 62007 | 62007
     8 |    e_vitiello_jr |  7334 | 24575 | 24575 | 65348 | 65352
     9 |          PhoeniX |  7334 | 24575 | 24575 | 65353 | 65353
 18510 |    e_vitiello_jr |  7334 | 61444 | 61444 | 63811 | 63811
 18511 |        puzzlebot |  7334 | 61444 | 61444 | 63812 | 63868
 18512 |    e_vitiello_jr |  7334 | 61444 | 61444 | 63869 | 63869
 18513 |        puzzlebot |  7334 | 61444 | 61444 | 63870 | 63871
 19170 |        puzzlebot |  7334 | 61445 | 61445 | 62008 | 62009
 18514 |    e_vitiello_jr |  7334 | 61444 | 61444 | 63872 | 63872
