FFFF:FFFF FFFF_E859
EFFF:FFFF EFFF_F85F
DFFF:FFFF DFFF_F3F8
CFFF:FFFF CFFF_F13D
BFFF:FFFF BFFF_FAC0
AFFF:FFFF AFFF_FC0D
9FFF:FFFF 9FFF_FC37
8FFF:FFFF 8FFF_F49D
7FFF:FFFF 7FFF_F50D
6FFF:FFFF 6FFF_CFFD
5FFF:FFFF 5FFF_EED4
4FFF:FFFF 4FFF_F9CA
3FFF:FFFF 3FFF_DF7D
2FFF:FFFF 2FFF_B751
1FFF:FFFF 1FFF_E725
0FFF:FFFF 0FFF_F657


65535:65535 65535:59481
61439:65535 61439:63583
57343:65535 57343:62456
53247:65535 53247:61757
49151:65535 49151:64192
45055:65535 45055:64525
40959:65535 40959:64567
36863:65535 36863:62621
32767:65535 32767:62733
28671:65535 28671:53245
24575:65535 24575:61140
20479:65535 20479:63946
16383:65535 16383:57213
12287:65535 12287:46929
8191:65535 8191:59173
4095:65535 4095:63063
